Candidate,Political Party,Win,Cash Contributions Received from Other Sources,In-Kind Contributions Received from Other Sources,Cash Contributions Received from Political Party,In-Kind Contributions Received from Political Party,Total Contributions Received,Expenditures Paid Out of Personal Funds,Expenditures Paid Out of Cash Contributions,Expenditures Incurred Using In-Kind Contribution,Total Expenditures Incurred,Difference (Contribution less Expenditure),Unpaid Obligation / Balance,Travel Expenses,"Compensation of campaigners, etc.",Communications,"Stationery, Printing, and Distribution",Employment of Poll Watchers,"Rent, Maintenance, etc.",Political Meetings and Rallies,Pol Ads,Total SLE,Employment of Counsel,Copying and Classifying List of Voters,Printing of Sample Ballots,Total Expenditures,Difference Total in SCE minus Total SLE
"Angara, Juan Edgardo",Laban ng Demokratikong Pilipino,1,0.0,0.0,0.0,153341072.41,153341072.41,314113.43,0.0,153341072.41,153655185.84,-314113.43,0.0,314113.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314113.43,0.0,0.0,0.0,314113.43,153341072.41
"Binay, Nancy",UNA,1,59470000.0,0.0,0.0,0.0,59470000.0,0.0,56785472.82,0.0,56785472.82,2684527.18,0.0,588104.7,0.0,25701.48,1128087.5,0.0,25027.0,898093.46,54120458.68,56785472.82,0.0,0.0,0.0,56785472.82,0.0
"Cayetano, Pilar Juliana",Nacionalista Party,1,67500000.0,7700000.0,0.0,0.0,75200000.0,659188.39,65355010.16,7700000.0,73714198.55,1485801.45,0.0,3492491.65,1742663.08,0.0,4783700.0,0.0,47368.42,0.0,63647975.4,73714198.55,0.0,0.0,0.0,73714198.55,0.0
"Dela Rosa, Ronald",PDP - Lakas ng Bayan,1,52000000.0,40604861.86,0.0,0.0,92604861.86,96554.93,52000000.0,40604861.86,92701416.79,-96554.93,0.0,912526.77,300000.0,18351.45,14793520.0,0.0,1248.0,23840.59,76175929.98,92225416.79,476000.0,0.0,0.0,92701416.79,476000.0
"Go, Christopher Lawrence",PDP - Lakas ng Bayan,1,155038000.0,6997537.34,0.0,0.0,162035537.34,415500.0,154005261.97,6997537.34,161418299.31,617238.03,0.0,26111243.64,6126022.0,1420114.03,10045682.29,0.0,271830.07,515000.0,116428407.28,160918299.31,500000.0,0.0,0.0,161418299.31,500000.0
"Lapid, Manuel",Nationalist People's Coalition,1,0.0,175700.0,0.0,0.0,175700.0,10578374.26,0.0,175700.0,10754074.26,-10578374.26,0.0,392097.64,150000.0,32852.0,20000.0,0.0,0.0,45506.82,9937917.8,10578374.26,0.0,0.0,0.0,10578374.26,175700.0
"Llamanzares, Mary Grace",Independent,1,156450000.0,0.0,0.0,0.0,156450000.0,0.0,156433463.8,0.0,156433463.8,16536.2,0.0,14778884.92,0.0,0.0,1286269.76,0.0,0.0,1927792.15,138440516.97,156433463.8,0.0,0.0,0.0,156433463.8,0.0
"Marcos, Maria Imelda Josefa",Nacionalista Party,1,137560000.0,0.0,0.0,0.0,137560000.0,0.0,132146754.55,0.0,132146754.55,5413245.45,0.0,1460991.99,3200000.0,233716.26,2250000.0,0.0,225171.3,0.0,124776875.0,132146754.55,0.0,0.0,0.0,132146754.55,0.0
"Pimentel, Aquilino Martin III",PDP - Lakas ng Bayan,1,79360000.0,165000.0,0.0,0.0,79525000.0,70818.3,79360000.0,165000.0,79595818.3,-70818.3,0.0,1023244.93,132700.0,132765.0,2929696.64,0.0,165000.0,324832.03,74887579.7,79595818.3,0.0,0.0,0.0,79595818.3,0.0
"Revilla, Ramon Bong Jr",Lakas Christian Muslim Democrats,1,14200000.0,5524884.5,2861120.0,92989230.71,115575235.21,6377123.72,17061120.0,98514115.21,121952358.93,-6377123.72,0.0,2807280.92,312000.0,103850.0,4330004.5,0.0,150000.0,0.0,114249223.51,121952358.93,0.0,0.0,0.0,121952358.93,0.0
"Tolentino, Francis",PDP - Lakas ng Bayan,1,112900000.0,0.0,0.0,0.0,112900000.0,46269836.54,112900000.0,0.0,159169836.54,-46269836.54,0.0,261322.76,0.0,65549.66,1885422.33,0.0,32171.56,6687.0,156856382.23,159107535.54,62301.0,0.0,0.0,159169836.54,62301.0
"Villar, Cynthia",Nacionalista Party,1,0.0,0.0,0.0,0.0,0.0,135529061.0,0.0,0.0,135529061.0,-135529061.0,0.0,5085489.12,2382080.68,317512.48,4878749.93,300000.0,0.0,356720.64,121958508.24,135279061.09,100000.0,0.0,150000.0,135529061.09,249999.91
"Aguilar, Ferdinand",Partido Demokratiko Pilipino - Lakas ng Bayan,0,120900.0,0.0,0.0,0.0,120900.0,101900.0,120900.0,0.0,222800.0,-101900.0,0.0,0.0,0.0,0.0,222800.0,0.0,0.0,0.0,0.0,222800.0,0.0,0.0,0.0,222800.0,0.0
"Albani, Ibrahim",Labor Party Philippines,0,400000.0,104978.0,0.0,0.0,504978.0,735628.0,0.0,0.0,735628.0,-230650.0,0.0,400000.0,0.0,0.0,335628.0,0.0,0.0,0.0,0.0,735628.0,0.0,0.0,0.0,735628.0,0.0
"Alejano, Gary",Liberal Party,0,5500000.0,0.0,0.0,0.0,5500000.0,513225.53,5500000.0,0.0,6013225.53,-513225.53,0.0,0.0,0.0,78946.05,330063.05,0.0,0.0,0.0,5604216.43,6013225.53,0.0,0.0,0.0,6013225.53,0.0
"Aquino, Bam",Independent,0,126350000.0,300000.0,0.0,0.0,126650000.0,0.0,125627172.59,300000.0,125927172.59,722827.41,0.0,2378203.01,392000.0,71301.08,2861646.45,0.0,102347.1,0.0,120121674.95,125927172.59,0.0,0.0,0.0,125927172.59,0.0
"Arcega, Gerald",Labor Party Philippines,0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,1300.0,-1300.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,1300.0,0.0
"Arellano, Ernesto",Independent,0,467500.0,823996.21,0.0,0.0,1291496.21,704380.77,467500.0,823996.21,1995876.98,-704380.77,0.0,446532.1,68373.0,15860.0,707065.98,0.0,90022.2,399823.7,268200.0,1995876.98,0.0,0.0,0.0,1995876.98,0.0
"Arias, Marcelino",Labor Party Philippines,0,0.0,0.0,0.0,0.0,0.0,1506000.0,0.0,0.0,1506000.0,-1506000.0,0.0,194000.0,195000.0,20000.0,943000.0,30000.0,2000.0,50000.0,10000.0,1444000.0,10000.0,2000.0,50000.0,1506000.0,62000.0
"Baldevarona, Jonthan",Filipino Family Party,0,0.0,0.0,0.0,0.0,0.0,520398.88,0.0,0.0,520398.88,-520398.88,0.0,121101.82,0.0,14754.71,214073.8,0.0,0.0,170468.55,0.0,520398.88,0.0,0.0,0.0,520398.88,0.0
"Caceres, Jesus",independent,0,0.0,0.0,0.0,0.0,0.0,10578.0,0.0,0.0,10578.0,-10578.0,0.0,495.0,0.0,1295.0,8738.0,0.0,0.0,0.0,0.0,10528.0,0.0,0.0,0.0,10528.0,50.0
"Colmenares, Neri",Makabayan,0,3370000.0,0.0,500000.0,0.0,3870000.0,0.0,3775648.53,0.0,3775648.53,94351.47,0.0,283636.14,0.0,185214.69,1503230.0,0.0,0.0,0.0,1803567.7,3775648.53,0.0,0.0,0.0,3775648.53,0.0
"Diokno, Chel",Liberal Party,0,26055000.0,92715.0,0.0,0.0,26147715.0,185546.14,26147715.0,0.0,26333261.14,-185546.14,0.0,1172260.99,357667.54,416437.09,826884.87,0.0,91872.75,0.0,23468137.9,26333261.14,0.0,0.0,0.0,26333261.14,0.0
"Estrada, Jinggoy",Pwersa ng Masang Pilipino,0,0.0,14537339.93,0.0,78879946.56,93417286.49,110765407.64,0.0,14537339.93,125302747.57,-31885461.08,0.0,6991829.28,3590000.0,293363.96,235102.52,29200.0,596022.31,0.0,113567229.5,125302747.57,0.0,0.0,0.0,125302747.57,0.0
"Francisco, Elmer",Partido Federal ng Pilipinas,0,0.0,0.0,0.0,0.0,0.0,2911318.25,0.0,0.0,2911318.25,-2911318.25,0.0,34673.13,1396000.0,200.0,100000.0,601500.0,739687.56,10500.0,28757.56,2911318.25,0.0,0.0,0.0,2911318.25,0.0
"Guigayuma, Junbert",Labor Party Philippines/ Workers Party,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gutoc, Samira",Liberal Party,0,3200000.0,0.0,0.0,0.0,3200000.0,67212.82,3200000.0,0.0,3267212.82,-67212.82,0.0,97142.68,12420.0,20638.99,523820.0,0.0,81929.0,0.0,2531261.87,3267212.54,0.0,0.0,0.0,3267212.54,0.28
"Hilbay, Florin",Liberal Party,0,2379000.0,413508.0,0.0,0.0,2792508.0,181878.62,2379000.0,413508.0,2974386.62,-181878.62,0.0,823132.88,0.0,31319.5,1293440.0,0.0,234985.27,0.0,411508.97,2794386.62,0.0,0.0,0.0,2794386.62,180000.0
"Javellana, Rodolfo",Katipunan ,0,0.0,66050.0,0.0,0.0,66050.0,28855.85,0.0,0.0,28855.85,37194.15,0.0,5034.2,815.2,1800.0,67090.0,0.0,20166.3,0.0,0.0,94905.7,0.0,0.0,0.0,94905.7,-66049.85
"Macalintal, Romulo",Independent,0,0.0,0.0,0.0,0.0,0.0,8541839.31,0.0,0.0,8541839.31,-8541839.31,0.0,773844.82,62230.0,57802.24,899153.75,0.0,75000.0,8300.0,6665508.5,8541839.31,0.0,0.0,0.0,8541839.31,0.0
"Magundadatu, Zajid",Partido Demokratiko Pilipino - Lakas ng Bayan,0,0.0,21316822.46,0.0,0.0,21316822.46,109502291.61,0.0,0.0,109502291.61,-88185469.15,0.0,11857147.41,5864442.38,785460.35,1319358.65,0.0,1119723.51,866791.78,87689367.54,109502291.62,0.0,0.0,0.0,109502291.62,-0.01
"Manicad, Rodrigo",Independent,0,5775000.0,0.0,0.0,0.0,5775000.0,6557751.53,5775000.0,0.0,12332751.53,-6557751.53,0.0,248975.81,0.0,0.0,0.0,0.0,0.0,0.0,12083775.72,12332751.53,0.0,0.0,0.0,12332751.53,0.0
"Matula, Sonny",Workers and Peasants Party,0,102000.0,218441.91,0.0,0.0,320441.91,0.0,0.0,0.0,0.0,320441.91,0.0,70774.95,0.0,38673.0,140750.0,0.0,0.0,13446.73,236589.7,500234.38,0.0,0.0,0.0,500234.38,-500234.38
"Meniano, Luther",Labor Party of the Philippines/ Workers and Peasants Party,0,532509.28,0.0,0.0,0.0,532509.28,0.0,108696.98,0.0,108696.98,423812.3,0.0,9090.0,0.0,0.0,234.0,0.0,96563.02,2809.0,0.0,108696.02,0.0,0.0,0.0,108696.02,0.96
"Montano, Allan",Independent,0,0.0,0.0,0.0,0.0,0.0,129195.0,0.0,0.0,129195.0,-129195.0,0.0,0.0,0.0,129195.0,0.0,0.0,0.0,0.0,0.0,129195.0,0.0,0.0,0.0,129195.0,0.0
"Nalliw, Joan",Independent,0,0.0,0.0,0.0,0.0,0.0,299310.0,0.0,0.0,299310.0,-299310.0,0.0,60000.0,0.0,0.0,239310.0,0.0,0.0,0.0,0.0,299310.0,0.0,0.0,0.0,299310.0,0.0
"Ong, Willie",Lakas Mchristian Muslim Democrats,0,0.0,662764.29,0.0,0.0,662764.29,581283.21,0.0,662764.29,1244047.5,-581283.21,0.0,53484.2,105000.0,4299.01,408500.0,0.0,10000.0,0.0,0.0,581283.21,0.0,0.0,0.0,581283.21,662764.29
"Osmena, Sergio",Independent,0,97500000.0,0.0,0.0,0.0,97500000.0,8547137.33,97500000.0,0.0,106047137.33,-8547137.33,0.0,30631.03,710866.67,74679.21,2100618.0,0.0,0.0,0.0,103130342.42,106047137.33,0.0,0.0,0.0,106047137.33,0.0
"Enrile, Juan Ponce",Pwersa ng Masang Pilipino,0,0.0,0.0,0.0,0.0,0.0,83214696.37,0.0,0.0,83214696.37,-83214696.37,0.0,1052438.9,4084.0,600.0,1005627.56,0.0,21100.0,0.0,81130845.91,83214696.37,0.0,0.0,0.0,83214696.37,0.0
"Roleda, Danilo",United Nationalist Alliance,0,0.0,0.0,0.0,0.0,0.0,65607.35,0.0,0.0,65607.35,-65607.35,0.0,31976.45,0.0,0.0,0.0,0.0,0.0,0.0,33630.9,65607.35,0.0,0.0,0.0,65607.35,0.0
Roxas Manuel,Liberal Party,0,167050000.0,0.0,0.0,0.0,167050000.0,12143153.04,167050000.0,0.0,179193153.04,-12143153.04,0.0,1032500.05,300000.0,14998.0,349400.8,0.0,0.0,34000.0,77462254.19,79193153.04,0.0,0.0,0.0,79193153.04,100000000.0
Sahidulla Nur-ana Suhaili,Katipunan ,0,0.0,0.0,0.0,0.0,0.0,992346.77,0.0,0.0,992346.77,-992346.77,0.0,116998.72,265300.0,24342.5,45553.25,44000.0,0.0,83352.3,0.0,579546.77,112800.0,0.0,300000.0,992346.77,412800.0
"Tanada, Erin",Liberal Party,0,17000000.0,0.0,0.0,0.0,17000000.0,4299841.0,17000000.0,0.0,21299841.0,-4299841.0,0.0,166757.34,88400.0,51493.41,582037.5,0.0,16200.0,0.0,20349952.07,21254840.32,0.0,0.0,0.0,21254840.32,45000.68
